tll_id,tll_name,tll_brand,tll_category,historical_map_status,historical_shopify_product_id,historical_shopify_variant_id,supplier_sku,supplier_feed_name,supplier_feed_size,supplier_feed_barcode,supplier_feed_tax_flag,historical_retail_gbp,supplier_feed_price_gbp,supplier_nutrition_text_present,review_flags
008f9a15-e961-4802-92fe-fbd7479442b6,Casein Complex,Scitec Nutrition,casein,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
020e20c2-bfd5-4fba-9c5e-59543e94c23b,Prepare,TrainedByJP,pre-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
0379e5a9-bdae-4b68-aee2-787a3314fd08,Carb Killa (Chocolate Chip Salted Caramel),Grenade,protein-bar,MAPPED_2026-09-14_UNVERIFIED,16037754044746,63535202402634,GRE091,Grenade Protein Bar 12x60g Chocolate Chip Salted Caramel,12x60g,5060221206877,VAT,22.99,17.64,YES,MULTIPACK_SUPPLIER_UNIT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
04cd9fc1-86e5-4ceb-a5ef-7229f15ee4dc,Magnesium Bisglycinate,Bulk,magnesium,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
06ca0109-8e25-481b-b67a-0965d8d737a5,Synergiz (Maximum Organ Support),Alpha Neon,cycle-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
072adf9d-2393-4f98-b433-5939929c7c9f,Creatine Monohydrate,Supplement Needs,creatine,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
0732332e-d2a7-43b4-9257-056305b61c7c,Apple Cider Vinegar+,Nutrition Geeks,gut-digestion,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
07e3e331-aaa4-4703-927a-f36d5cec38b1,Thavage,Raw Nutrition (CBUM),pre-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
08cea092-e58a-46fb-80d4-343e7ae50170,Creapure Creatine,PhD Nutrition,creatine,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
0978e532-a53c-4f80-9ac1-d7872049462a,Every Day MAX,Optibac,gut-digestion,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
