shopify_handle,shopify_title,shopify_status,published,variant_sku,option_1,option_2,option_3,shopify_retail_gbp,inventory_tracker,inventory_quantity,inventory_policy,shopify_barcode,historical_map_link,feed_link,feed_size,feed_barcode,feed_wholesale_gbp_unconfirmed_vat_basis,feed_tax_flag,pack_size_text_match,supplier_multipack,barcode_comparison,warning_no_promo_inclusive,warning_first_order_inclusive,warning_repeat_order_inclusive,warning_no_promo_vat_extra,warning_first_order_vat_extra,warning_repeat_order_vat_extra
applied-nutrition-100-casein,Applied Nutrition 100% Casein Protein,active,true,APP385,900g Chocolate,,,49.99,,0,deny,,YES,YES,900g,5056555203163,19.29,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS
applied-nutrition-abe-slot,Applied Nutrition ABE (slot),draft,false,TLL-APP-ABE-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
applied-nutrition-amino-fuel-eaa,Applied Nutrition Amino Fuel EAA,active,true,APP016,390g Fruit Burst,,,23.95,,0,deny,,YES,YES,390g,5056555206393,13.59,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
applied-nutrition-creatine-monohydrate,Applied Nutrition Creatine Monohydrate,active,true,APP449,250g Unflavoured,,,24.95,,0,deny,,YES,YES,250g,5056555206218,7.45,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,NO_WARNING_BEFORE_OMITTED_COSTS
applied-nutrition-critical-mass-slot,Applied Nutrition Critical Mass (slot),draft,false,TLL-APP-CRITMASS-SLOT,Default Title,,,0.00,,0,deny,,NO,NO,,,,,UNKNOWN,NO,NO_SHOPIFY_BARCODE,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED,NOT_SCREENED
applied-nutrition-critical-whey,Applied Nutrition Critical Whey,active,true,APP613,825g Chocolate,,,49.99,,0,deny,,YES,YES,825g,5056555211199,22.52,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN
applied-nutrition-digestive-enzyme-capsules,Applied Nutrition Digestive Enzyme Capsules,active,true,APP292,60 Caps,,,12.95,,0,deny,,YES,YES,60 Caps,5056555200094,9.26,VAT,YES,NO,NO_SHOPIFY_BARCODE,WARN,WARN,WARN,WARN,WARN,WARN
applied-nutrition-endurance-recovery,Applied Nutrition Endurance Recovery,active,true,APP286,1.5kg Vanilla,,,29.95,,0,deny,,YES,YES,1.5kg,5056555201565,13.19,VAT,YES,NO,NO_SHOPIFY_BARCODE,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP046,Banana,1.8kg,,99.99,shopify,0,continue,5056555204610,NO,YES,1.8kg,5056555204610,63.74,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP047,Cafe Latte,1.8kg,,99.99,shopify,0,continue,5056555204627,NO,YES,1.8kg,5056555204627,63.74,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP048,Chocolate,1.8kg,,99.99,shopify,0,continue,634158780691,NO,YES,1.8kg,634158780691,63.74,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP050,Strawberry,1.8kg,,99.99,shopify,0,continue,5056555204658,NO,YES,1.8kg,5056555204658,63.74,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP051,Vanilla,1.8kg,,99.99,shopify,0,continue,5056555204665,NO,YES,1.8kg,5056555204665,63.74,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP068,Choco Caramel,850g,,49.99,shopify,0,continue,5056555205952,NO,YES,850g,5056555205952,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP071,Choco Honeycomb,850g,,49.99,shopify,0,continue,5056555205976,NO,YES,850g,5056555205976,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP072,Choco Peanut,850g,,49.99,shopify,0,continue,5056555205983,NO,YES,850g,5056555205983,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP511,Strawberry,850g,,49.99,shopify,0,continue,5056555207093,NO,YES,850g,5056555207093,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP672,Cookies N Cream,850g,,49.99,shopify,0,continue,5056555214268,NO,YES,850g,5056555214268,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP673,White Choc Pistachio,850g,,49.99,shopify,0,continue,5056555214275,NO,YES,850g,5056555214275,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
applied-nutrition-iso-xp,Applied Nutrition ISO-XP,active,true,APP675,Cafe Latte,850g,,49.99,shopify,0,continue,5056555209615,NO,YES,850g,5056555209615,29.67,VAT,YES,NO,MATCHES_14_SEP_FEED,NO_WARNING_BEFORE_OMITTED_COSTS,WARN,WARN,WARN,WARN,WARN
