id,name,brand,category,serving_size,serving_unit,servings_per_container
008f9a15-e961-4802-92fe-fbd7479442b6,Casein Complex,Scitec Nutrition,casein,40,scoop,23
020e20c2-bfd5-4fba-9c5e-59543e94c23b,Prepare,TrainedByJP,pre-workout,9.5,g,30
0379e5a9-bdae-4b68-aee2-787a3314fd08,Carb Killa (Chocolate Chip Salted Caramel),Grenade,protein-bar,60,bar,12
04cd9fc1-86e5-4ceb-a5ef-7229f15ee4dc,Magnesium Bisglycinate,Bulk,magnesium,4,capsule,60
06ca0109-8e25-481b-b67a-0965d8d737a5,Synergiz (Maximum Organ Support),Alpha Neon,cycle-support,4,capsule,30
072adf9d-2393-4f98-b433-5939929c7c9f,Creatine Monohydrate,Supplement Needs,creatine,5,g,100
0732332e-d2a7-43b4-9257-056305b61c7c,Apple Cider Vinegar+,Nutrition Geeks,gut-digestion,3,capsules,30
07e3e331-aaa4-4703-927a-f36d5cec38b1,Thavage,Raw Nutrition (CBUM),pre-workout,13,g,40
08cea092-e58a-46fb-80d4-343e7ae50170,Creapure Creatine,PhD Nutrition,creatine,5,g,110
0978e532-a53c-4f80-9ac1-d7872049462a,Every Day MAX,Optibac,gut-digestion,1,capsule,30
0a327a09-db76-483e-88ca-b55aacf3d53f,Protein Flapjack (Cocoa Oat),Trek,protein-bar,50,bar,1
0aa95107-59ac-4c3c-bec9-afc1b10efcb8,Quest Bar (Chocolate Chip Cookie Dough),Quest Nutrition,protein-bar,60,bar,1
0b2a6a88-ceaf-4c02-ad40-715d06691118,Creatine Monohydrate,Warrior,creatine,5,g,100
0cb62204-f9ed-489b-bb26-48220f101359,After Dark Protein,Bio-Synergy,casein,30,scoop,20
1245c55c-7cb2-49ba-9a78-591ec762c785,Extreme Recovery Blend,MyProtein,post-workout,100,scoop,25
13f50539-fa84-41d7-855f-746640b61ddf,Vitamin C 1000mg,Bulk,vitamin-c,1,tablet,90
15db1405-3468-4a8d-b391-d256a0c13d99,Gold Standard 100% Whey,Optimum Nutrition,whey,30.4,g,74
163558b4-1ec5-4546-835d-435f42a88dc8,Trust Crunch (Chocolate Peanut),USN,protein-bar,null,bar,null
17218104-2c4d-4c5b-864d-846427626503,Vitamin & Protein Bar (Dark Choc Salted Caramel),Fulfil Nutrition,protein-bar,55,bar,1
1856438d-d5cd-4151-97d5-f5cc379eab80,Omega-3 Fish Oil,Bulk,omega-3,2,softgel,90
1932109d-814f-421d-ad6a-7a1b247a33f3,REGO Rapid Recovery,Science in Sport (SiS),post-workout,50,scoop,10
1972920c-69ef-401d-96a5-f4cf358d529b,100% Casein Protein,Applied Nutrition,casein,30,scoop,60
1adf3959-7166-4232-b2a9-2e1a7dba2f87,Vitamin D3,Supplement Needs,vitamin,1,tablet,120
