variant_sku,shopify_handle,shopify_status,shopify_option_1,shopify_option_2,feed_size_2026_09_14,feed_barcode_2026_09_14,feed_wholesale_gbp_2026_09_14_vat_basis_unknown,feed_tax_flag,retail_gbp_2026_09_25,supplier_multipack,manufacturer_source_url,pilot_finding,pilot_note,exact_label_approval,rrp_status,commercial_approval
APP016,applied-nutrition-amino-fuel-eaa,active,390g Fruit Burst,,390g,5056555206393,13.59,VAT,23.95,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP028,applied-nutrition-mass,active,2.4kg Vanilla,,2.4kg,5056555205075,24.52,VAT,49.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP046,applied-nutrition-iso-xp,active,Banana,1.8kg,1.8kg,5056555204610,63.74,VAT,99.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP047,applied-nutrition-iso-xp,active,Cafe Latte,1.8kg,1.8kg,5056555204627,63.74,VAT,99.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP048,applied-nutrition-iso-xp,active,Chocolate,1.8kg,1.8kg,634158780691,63.74,VAT,99.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP050,applied-nutrition-iso-xp,active,Strawberry,1.8kg,1.8kg,5056555204658,63.74,VAT,99.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP051,applied-nutrition-iso-xp,active,Vanilla,1.8kg,1.8kg,5056555204665,63.74,VAT,99.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP068,applied-nutrition-iso-xp,active,Choco Caramel,850g,850g,5056555205952,29.67,VAT,49.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP071,applied-nutrition-iso-xp,active,Choco Honeycomb,850g,850g,5056555205976,29.67,VAT,49.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP072,applied-nutrition-iso-xp,active,Choco Peanut,850g,850g,5056555205983,29.67,VAT,49.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP286,applied-nutrition-endurance-recovery,active,1.5kg Vanilla,,1.5kg,5056555201565,13.19,VAT,29.95,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP292,applied-nutrition-digestive-enzyme-capsules,active,60 Caps,,60 Caps,5056555200094,9.26,VAT,12.95,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
APP385,applied-nutrition-100-casein,active,900g Chocolate,,900g,5056555203163,19.29,VAT,49.99,NO,,UNREVIEWED,,HOLD,NO_LOCAL_RRP_SOURCE,HOLD
